text,arrayWords,arrayFeatures,arrayScaledFeatures
"moved into the Dormouse’s place, and Alice rather unwillingly took the","[moved, into, the, dormouse’s, place,, and, alice, rather, unwillingly, took, the]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
place of the March Hare. The Hatter was the only one who got any,"[place, of, the, march, hare., the, hatter, was, the, only, one, who, got, any]","[64.0,14.0]","[0.7257829658171584,1.0384566305038794]"
advantage from the change: and Alice was a good deal worse off than,"[advantage, from, the, change:, and, alice, was, a, good, deal, worse, off, than]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"before, as the March Hare had just upset the milk-jug into his plate.","[before,, as, the, march, hare, had, just, upset, the, milk-jug, into, his, plate.]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Alice did not wish to offend the Dormouse again, so she began very","[alice, did, not, wish, to, offend, the, dormouse, again,, so, she, began, very]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
cautiously: “But I don’t understand. Where did they draw the treacle,"[cautiously:, “but, i, don’t, understand., where, did, they, draw, the, treacle]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
from?”,[from?”],"[6.0,1.0]","[-1.2429165280514964,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“You can draw water out of a water-well,” said the Hatter; “so I should","[“you, can, draw, water, out, of, a, water-well,”, said, the, hatter;, “so, i, should]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"think you could draw treacle out of a treacle-well—eh, stupid?”","[think, you, could, draw, treacle, out, of, a, treacle-well—eh,, stupid?”]","[63.0,10.0]","[0.6918398710952851,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“But they were _in_ the well,” Alice said to the Dormouse, not choosing","[“but, they, were, _in_, the, well,”, alice, said, to, the, dormouse,, not, choosing]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
to notice this last remark.,"[to, notice, this, last, remark.]","[27.0,5.0]","[-0.5301115388921559,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Of course they were,” said the Dormouse; “—well in.”","[“of, course, they, were,”, said, the, dormouse;, “—well, in.”]","[53.0,9.0]","[0.3524089238765515,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"This answer so confused poor Alice, that she let the Dormouse go on for","[this, answer, so, confused, poor, alice,, that, she, let, the, dormouse, go, on, for]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
some time without interrupting it.,"[some, time, without, interrupting, it.]","[34.0,5.0]","[-0.29250987583904237,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“They were learning to draw,” the Dormouse went on, yawning and rubbing","[“they, were, learning, to, draw,”, the, dormouse, went, on,, yawning, and, rubbing]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"its eyes, for it was getting very sleepy; “and they drew all manner of","[its, eyes,, for, it, was, getting, very, sleepy;, “and, they, drew, all, manner, of]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
things—everything that begins with an M—”,"[things—everything, that, begins, with, an, m—”]","[41.0,6.0]","[-0.05490821278592884,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Why with an M?” said Alice.,"[“why, with, an, m?”, said, alice.]","[28.0,6.0]","[-0.4961684441702825,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Why not?” said the March Hare.,"[“why, not?”, said, the, march, hare.]","[31.0,6.0]","[-0.39433916000466246,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Alice was silent.,"[alice, was, silent.]","[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The Dormouse had closed its eyes by this time, and was going off into a","[the, dormouse, had, closed, its, eyes, by, this, time,, and, was, going, off, into, a]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"doze; but, on being pinched by the Hatter, it woke up again with a","[doze;, but,, on, being, pinched, by, the, hatter,, it, woke, up, again, with, a]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"little shriek, and went on: “—that begins with an M, such as","[little, shriek,, and, went, on:, “—that, begins, with, an, m,, such, as]","[60.0,12.0]","[0.590010586929665,0.6745153932746865]"
"mouse-traps, and the moon, and memory, and muchness—you know you say","[mouse-traps,, and, the, moon,, and, memory,, and, muchness—you, know, you, say]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
things are “much of a muchness”—did you ever see such a thing as a,"[things, are, “much, of, a, muchness”—did, you, ever, see, such, a, thing, as, a]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
drawing of a muchness?”,"[drawing, of, a, muchness?”]","[23.0,4.0]","[-0.6658839177796493,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Really, now you ask me,” said Alice, very much confused, “I don’t","[“really,, now, you, ask, me,”, said, alice,, very, much, confused,, “i, don’t]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
think—”,[think—”],"[7.0,1.0]","[-1.2089734333296231,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Then you shouldn’t talk,” said the Hatter.","[“then, you, shouldn’t, talk,”, said, the, hatter.]","[43.0,7.0]","[0.012977976657817879,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
This piece of rudeness was more than Alice could bear: she got up in,"[this, piece, of, rudeness, was, more, than, alice, could, bear:, she, got, up, in]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
"great disgust, and walked off; the Dormouse fell asleep instantly, and","[great, disgust,, and, walked, off;, the, dormouse, fell, asleep, instantly,, and]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
"neither of the others took the least notice of her going, though she","[neither, of, the, others, took, the, least, notice, of, her, going,, though, she]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"looked back once or twice, half hoping that they would call after her:","[looked, back, once, or, twice,, half, hoping, that, they, would, call, after, her:]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"the last time she saw them, they were trying to put the Dormouse into","[the, last, time, she, saw, them,, they, were, trying, to, put, the, dormouse, into]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
the teapot.,"[the, teapot.]","[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“At any rate I’ll never go _there_ again!” said Alice as she picked her,"[“at, any, rate, i’ll, never, go, _there_, again!”, said, alice, as, she, picked, her]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
way through the wood. “It’s the stupidest tea-party I ever was at in,"[way, through, the, wood., “it’s, the, stupidest, tea-party, i, ever, was, at, in]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
all my life!”,"[all, my, life!”]","[13.0,3.0]","[-1.005314864998383,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Just as she said this, she noticed that one of the trees had a door","[just, as, she, said, this,, she, noticed, that, one, of, the, trees, had, a, door]","[67.0,15.0]","[0.8276122499827785,1.2204272491184758]"
leading right into it. “That’s very curious!” she thought. “But,"[leading, right, into, it., “that’s, very, curious!”, she, thought., “but]","[63.0,10.0]","[0.6918398710952851,0.31057415604549354]"
everything’s curious today. I think I may as well go in at once.” And,"[everything’s, curious, today., i, think, i, may, as, well, go, in, at, once.”, and]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
in she went.,"[in, she, went.]","[12.0,3.0]","[-1.0392579597202563,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Once more she found herself in the long hall, and close to the little","[once, more, she, found, herself, in, the, long, hall,, and, close, to, the, little]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"glass table. “Now, I’ll manage better this time,” she said to herself,","[glass, table., “now,, i’ll, manage, better, this, time,”, she, said, to, herself,]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"and began by taking the little golden key, and unlocking the door that","[and, began, by, taking, the, little, golden, key,, and, unlocking, the, door, that]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
led into the garden. Then she went to work nibbling at the mushroom,"[led, into, the, garden., then, she, went, to, work, nibbling, at, the, mushroom]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
(she had kept a piece of it in her pocket) till she was about a foot,"[(she, had, kept, a, piece, of, it, in, her, pocket), till, she, was, about, a, foot]","[68.0,16.0]","[0.8615553447046519,1.4023978677330722]"
high: then she walked down the little passage: and _then_—she found,"[high:, then, she, walked, down, the, little, passage:, and, _then_—she, found]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
"herself at last in the beautiful garden, among the bright flower-beds","[herself, at, last, in, the, beautiful, garden,, among, the, bright, flower-beds]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
and the cool fountains.,"[and, the, cool, fountains.]","[23.0,4.0]","[-0.6658839177796493,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
CHAPTER VIII.,"[chapter, viii.]","[13.0,2.0]","[-1.005314864998383,-1.145190792871278]"
The Queen’s Croquet-Ground,"[the, queen’s, croquet-ground]","[26.0,3.0]","[-0.5640546336140292,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
A large rose-tree stood near the entrance of the garden: the roses,"[a, large, rose-tree, stood, near, the, entrance, of, the, garden:, the, roses]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
"growing on it were white, but there were three gardeners at it, busily","[growing, on, it, were, white,, but, there, were, three, gardeners, at, it,, busily]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"painting them red. Alice thought this a very curious thing, and she","[painting, them, red., alice, thought, this, a, very, curious, thing,, and, she]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"went nearer to watch them, and just as she came up to them she heard","[went, nearer, to, watch, them,, and, just, as, she, came, up, to, them, she, heard]","[68.0,15.0]","[0.8615553447046519,1.2204272491184758]"
"one of them say, “Look out now, Five! Don’t go splashing paint over me","[one, of, them, say,, “look, out, now,, five!, don’t, go, splashing, paint, over, me]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
like that!”,"[like, that!”]","[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I couldn’t help it,” said Five, in a sulky tone; “Seven jogged my","[“i, couldn’t, help, it,”, said, five,, in, a, sulky, tone;, “seven, jogged, my]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
elbow.”,[elbow.”],"[7.0,1.0]","[-1.2089734333296231,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"On which Seven looked up and said, “That’s right, Five! Always lay the","[on, which, seven, looked, up, and, said,, “that’s, right,, five!, always, lay, the]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
blame on others!”,"[blame, on, others!”]","[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“_You’d_ better not talk!” said Five. “I heard the Queen say only,"[“_you’d_, better, not, talk!”, said, five., “i, heard, the, queen, say, only]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
yesterday you deserved to be beheaded!”,"[yesterday, you, deserved, to, be, beheaded!”]","[39.0,6.0]","[-0.12279440222967557,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“What for?” said the one who had spoken first.,"[“what, for?”, said, the, one, who, had, spoken, first.]","[46.0,9.0]","[0.11480726082343795,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“That’s none of _your_ business, Two!” said Seven.","[“that’s, none, of, _your_, business,, two!”, said, seven.]","[50.0,8.0]","[0.2505796397109314,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Yes, it _is_ his business!” said Five, “and I’ll tell him—it was for","[“yes,, it, _is_, his, business!”, said, five,, “and, i’ll, tell, him—it, was, for]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
bringing the cook tulip-roots instead of onions.”,"[bringing, the, cook, tulip-roots, instead, of, onions.”]","[49.0,7.0]","[0.21663654498905804,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Seven flung down his brush, and had just begun “Well, of all the unjust","[seven, flung, down, his, brush,, and, had, just, begun, “well,, of, all, the, unjust]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"things—” when his eye chanced to fall upon Alice, as she stood watching","[things—”, when, his, eye, chanced, to, fall, upon, alice,, as, she, stood, watching]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"them, and he checked himself suddenly: the others looked round also,","[them,, and, he, checked, himself, suddenly:, the, others, looked, round, also,]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
and all of them bowed low.,"[and, all, of, them, bowed, low.]","[26.0,6.0]","[-0.5640546336140292,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Would you tell me,” said Alice, a little timidly, “why you are","[“would, you, tell, me,”, said, alice,, a, little, timidly,, “why, you, are]","[63.0,12.0]","[0.6918398710952851,0.6745153932746865]"
painting those roses?”,"[painting, those, roses?”]","[22.0,3.0]","[-0.6998270125015227,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Five and Seven said nothing, but looked at Two. Two began in a low","[five, and, seven, said, nothing,, but, looked, at, two., two, began, in, a, low]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"voice, “Why the fact is, you see, Miss, this here ought to have been a","[voice,, “why, the, fact, is,, you, see,, miss,, this, here, ought, to, have, been, a]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"_red_ rose-tree, and we put a white one in by mistake; and if the Queen","[_red_, rose-tree,, and, we, put, a, white, one, in, by, mistake;, and, if, the, queen]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"was to find it out, we should all have our heads cut off, you know. So","[was, to, find, it, out,, we, should, all, have, our, heads, cut, off,, you, know., so]","[70.0,16.0]","[0.9294415341483986,1.4023978677330722]"
"you see, Miss, we’re doing our best, afore she comes, to—” At this","[you, see,, miss,, we’re, doing, our, best,, afore, she, comes,, to—”, at, this]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"moment Five, who had been anxiously looking across the garden, called","[moment, five,, who, had, been, anxiously, looking, across, the, garden,, called]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
out “The Queen! The Queen!” and the three gardeners instantly threw,"[out, “the, queen!, the, queen!”, and, the, three, gardeners, instantly, threw]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
"themselves flat upon their faces. There was a sound of many footsteps,","[themselves, flat, upon, their, faces., there, was, a, sound, of, many, footsteps,]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"and Alice looked round, eager to see the Queen.","[and, alice, looked, round,, eager, to, see, the, queen.]","[47.0,9.0]","[0.14875035554531132,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
First came ten soldiers carrying clubs; these were all shaped like the,"[first, came, ten, soldiers, carrying, clubs;, these, were, all, shaped, like, the]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"three gardeners, oblong and flat, with their hands and feet at the","[three, gardeners,, oblong, and, flat,, with, their, hands, and, feet, at, the]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
corners: next the ten courtiers; these were ornamented all over with,"[corners:, next, the, ten, courtiers;, these, were, ornamented, all, over, with]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
"diamonds, and walked two and two, as the soldiers did. After these came","[diamonds,, and, walked, two, and, two,, as, the, soldiers, did., after, these, came]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
"the royal children; there were ten of them, and the little dears came","[the, royal, children;, there, were, ten, of, them,, and, the, little, dears, came]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"jumping merrily along hand in hand, in couples: they were all","[jumping, merrily, along, hand, in, hand,, in, couples:, they, were, all]","[61.0,11.0]","[0.6239536816515383,0.49254477466009]"
"ornamented with hearts. Next came the guests, mostly Kings and Queens,","[ornamented, with, hearts., next, came, the, guests,, mostly, kings, and, queens,]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
and among them Alice recognised the White Rabbit: it was talking in a,"[and, among, them, alice, recognised, the, white, rabbit:, it, was, talking, in, a]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"hurried nervous manner, smiling at everything that was said, and went","[hurried, nervous, manner,, smiling, at, everything, that, was, said,, and, went]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
"by without noticing her. Then followed the Knave of Hearts, carrying","[by, without, noticing, her., then, followed, the, knave, of, hearts,, carrying]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
"the King’s crown on a crimson velvet cushion; and, last of all this","[the, king’s, crown, on, a, crimson, velvet, cushion;, and,, last, of, all, this]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"grand procession, came THE KING AND QUEEN OF HEARTS.","[grand, procession,, came, the, king, and, queen, of, hearts.]","[52.0,9.0]","[0.31846582915467814,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Alice was rather doubtful whether she ought not to lie down on her face,"[alice, was, rather, doubtful, whether, she, ought, not, to, lie, down, on, her, face]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"like the three gardeners, but she could not remember ever having heard","[like, the, three, gardeners,, but, she, could, not, remember, ever, having, heard]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"of such a rule at processions; “and besides, what would be the use of a","[of, such, a, rule, at, processions;, “and, besides,, what, would, be, the, use, of, a]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"procession,” thought she, “if people had all to lie down upon their","[procession,”, thought, she,, “if, people, had, all, to, lie, down, upon, their]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"faces, so that they couldn’t see it?” So she stood still where she was,","[faces,, so, that, they, couldn’t, see, it?”, so, she, stood, still, where, she, was,]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
and waited.,"[and, waited.]","[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"When the procession came opposite to Alice, they all stopped and looked","[when, the, procession, came, opposite, to, alice,, they, all, stopped, and, looked]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"at her, and the Queen said severely “Who is this?” She said it to the","[at, her,, and, the, queen, said, severely, “who, is, this?”, she, said, it, to, the]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"Knave of Hearts, who only bowed and smiled in reply.","[knave, of, hearts,, who, only, bowed, and, smiled, in, reply.]","[52.0,10.0]","[0.31846582915467814,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Idiot!” said the Queen, tossing her head impatiently; and, turning to","[“idiot!”, said, the, queen,, tossing, her, head, impatiently;, and,, turning, to]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
"Alice, she went on, “What’s your name, child?”","[alice,, she, went, on,, “what’s, your, name,, child?”]","[46.0,8.0]","[0.11480726082343795,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“My name is Alice, so please your Majesty,” said Alice very politely;","[“my, name, is, alice,, so, please, your, majesty,”, said, alice, very, politely;]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
"but she added, to herself, “Why, they’re only a pack of cards, after","[but, she, added,, to, herself,, “why,, they’re, only, a, pack, of, cards,, after]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
all. I needn’t be afraid of them!”,"[all., i, needn’t, be, afraid, of, them!”]","[34.0,7.0]","[-0.29250987583904237,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“And who are _these?_” said the Queen, pointing to the three gardeners","[“and, who, are, _these?_”, said, the, queen,, pointing, to, the, three, gardeners]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"who were lying round the rose-tree; for, you see, as they were lying on","[who, were, lying, round, the, rose-tree;, for,, you, see,, as, they, were, lying, on]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"their faces, and the pattern on their backs was the same as the rest of","[their, faces,, and, the, pattern, on, their, backs, was, the, same, as, the, rest, of]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"the pack, she could not tell whether they were gardeners, or soldiers,","[the, pack,, she, could, not, tell, whether, they, were, gardeners,, or, soldiers,]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"or courtiers, or three of her own children.","[or, courtiers,, or, three, of, her, own, children.]","[43.0,8.0]","[0.012977976657817879,-0.053367081183699316]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“How should _I_ know?” said Alice, surprised at her own courage. “It’s","[“how, should, _i_, know?”, said, alice,, surprised, at, her, own, courage., “it’s]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
no business of _mine_.”,"[no, business, of, _mine_.”]","[23.0,4.0]","[-0.6658839177796493,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The Queen turned crimson with fury, and, after glaring at her for a","[the, queen, turned, crimson, with, fury,, and,, after, glaring, at, her, for, a]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"moment like a wild beast, screamed “Off with her head! Off—”","[moment, like, a, wild, beast,, screamed, “off, with, her, head!, off—”]","[60.0,11.0]","[0.590010586929665,0.49254477466009]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Nonsense!” said Alice, very loudly and decidedly, and the Queen was","[“nonsense!”, said, alice,, very, loudly, and, decidedly,, and, the, queen, was]","[68.0,11.0]","[0.8615553447046519,0.49254477466009]"
silent.,[silent.],"[7.0,1.0]","[-1.2089734333296231,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The King laid his hand upon her arm, and timidly said “Consider, my","[the, king, laid, his, hand, upon, her, arm,, and, timidly, said, “consider,, my]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
dear: she is only a child!”,"[dear:, she, is, only, a, child!”]","[27.0,6.0]","[-0.5301115388921559,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The Queen turned angrily away from him, and said to the Knave “Turn","[the, queen, turned, angrily, away, from, him,, and, said, to, the, knave, “turn]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
them over!”,"[them, over!”]","[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The Knave did so, very carefully, with one foot.","[the, knave, did, so,, very, carefully,, with, one, foot.]","[48.0,9.0]","[0.18269345026718467,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Get up!” said the Queen, in a shrill, loud voice, and the three","[“get, up!”, said, the, queen,, in, a, shrill,, loud, voice,, and, the, three]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
"gardeners instantly jumped up, and began bowing to the King, the Queen,","[gardeners, instantly, jumped, up,, and, began, bowing, to, the, king,, the, queen,]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"the royal children, and everybody else.","[the, royal, children,, and, everybody, else.]","[39.0,6.0]","[-0.12279440222967557,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Leave off that!” screamed the Queen. “You make me giddy.” And then,","[“leave, off, that!”, screamed, the, queen., “you, make, me, giddy.”, and, then,]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"turning to the rose-tree, she went on, “What _have_ you been doing","[turning, to, the, rose-tree,, she, went, on,, “what, _have_, you, been, doing]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
here?”,[here?”],"[6.0,1.0]","[-1.2429165280514964,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“May it please your Majesty,” said Two, in a very humble tone, going","[“may, it, please, your, majesty,”, said, two,, in, a, very, humble, tone,, going]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"down on one knee as he spoke, “we were trying—”","[down, on, one, knee, as, he, spoke,, “we, were, trying—”]","[47.0,10.0]","[0.14875035554531132,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“_I_ see!” said the Queen, who had meanwhile been examining the roses.","[“_i_, see!”, said, the, queen,, who, had, meanwhile, been, examining, the, roses.]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
"“Off with their heads!” and the procession moved on, three of the","[“off, with, their, heads!”, and, the, procession, moved, on,, three, of, the]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
"soldiers remaining behind to execute the unfortunate gardeners, who ran","[soldiers, remaining, behind, to, execute, the, unfortunate, gardeners,, who, ran]","[71.0,10.0]","[0.963384628870272,0.31057415604549354]"
to Alice for protection.,"[to, alice, for, protection.]","[24.0,4.0]","[-0.631940823057776,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“You shan’t be beheaded!” said Alice, and she put them into a large","[“you, shan’t, be, beheaded!”, said, alice,, and, she, put, them, into, a, large]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
flower-pot that stood near. The three soldiers wandered about for a,"[flower-pot, that, stood, near., the, three, soldiers, wandered, about, for, a]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
"minute or two, looking for them, and then quietly marched off after the","[minute, or, two,, looking, for, them,, and, then, quietly, marched, off, after, the]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
others.,[others.],"[7.0,1.0]","[-1.2089734333296231,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Are their heads off?” shouted the Queen.,"[“are, their, heads, off?”, shouted, the, queen.]","[41.0,7.0]","[-0.05490821278592884,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Their heads are gone, if it please your Majesty!” the soldiers shouted","[“their, heads, are, gone,, if, it, please, your, majesty!”, the, soldiers, shouted]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
in reply.,"[in, reply.]","[9.0,2.0]","[-1.1410872438858763,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
