text,arrayWords,arrayFeatures,arrayScaledFeatures
"at home! Why, I wouldn’t say anything about it, even if I fell off the","[at, home!, why,, i, wouldn’t, say, anything, about, it,, even, if, i, fell, off, the]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
top of the house!” (Which was very likely true.),"[top, of, the, house!”, (which, was, very, likely, true.)]","[48.0,9.0]","[0.18269345026718467,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Down, down, down. Would the fall _never_ come to an end? “I wonder how","[down,, down,, down., would, the, fall, _never_, come, to, an, end?, “i, wonder, how]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
many miles I’ve fallen by this time?” she said aloud. “I must be,"[many, miles, i’ve, fallen, by, this, time?”, she, said, aloud., “i, must, be]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
getting somewhere near the centre of the earth. Let me see: that would,"[getting, somewhere, near, the, centre, of, the, earth., let, me, see:, that, would]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"be four thousand miles down, I think—” (for, you see, Alice had learnt","[be, four, thousand, miles, down,, i, think—”, (for,, you, see,, alice, had, learnt]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"several things of this sort in her lessons in the schoolroom, and","[several, things, of, this, sort, in, her, lessons, in, the, schoolroom,, and]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
though this was not a _very_ good opportunity for showing off her,"[though, this, was, not, a, _very_, good, opportunity, for, showing, off, her]","[65.0,12.0]","[0.7597260605390318,0.6745153932746865]"
"knowledge, as there was no one to listen to her, still it was good","[knowledge,, as, there, was, no, one, to, listen, to, her,, still, it, was, good]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"practice to say it over) “—yes, that’s about the right distance—but","[practice, to, say, it, over), “—yes,, that’s, about, the, right, distance—but]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
then I wonder what Latitude or Longitude I’ve got to?” (Alice had no,"[then, i, wonder, what, latitude, or, longitude, i’ve, got, to?”, (alice, had, no]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"idea what Latitude was, or Longitude either, but thought they were nice","[idea, what, latitude, was,, or, longitude, either,, but, thought, they, were, nice]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
grand words to say.),"[grand, words, to, say.)]","[20.0,4.0]","[-0.7677132019452694,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
Presently she began again. “I wonder if I shall fall right _through_,"[presently, she, began, again., “i, wonder, if, i, shall, fall, right, _through_]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
the earth! How funny it’ll seem to come out among the people that walk,"[the, earth!, how, funny, it’ll, seem, to, come, out, among, the, people, that, walk]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"with their heads downward! The Antipathies, I think—” (she was rather","[with, their, heads, downward!, the, antipathies,, i, think—”, (she, was, rather]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
"glad there _was_ no one listening, this time, as it didn’t sound at all","[glad, there, _was_, no, one, listening,, this, time,, as, it, didn’t, sound, at, all]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
the right word) “—but I shall have to ask them what the name of the,"[the, right, word), “—but, i, shall, have, to, ask, them, what, the, name, of, the]","[67.0,15.0]","[0.8276122499827785,1.2204272491184758]"
"country is, you know. Please, Ma’am, is this New Zealand or Australia?”","[country, is,, you, know., please,, ma’am,, is, this, new, zealand, or, australia?”]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
(and she tried to curtsey as she spoke—fancy _curtseying_ as you’re,"[(and, she, tried, to, curtsey, as, she, spoke—fancy, _curtseying_, as, you’re]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
falling through the air! Do you think you could manage it?) “And what,"[falling, through, the, air!, do, you, think, you, could, manage, it?), “and, what]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"an ignorant little girl she’ll think me for asking! No, it’ll never do","[an, ignorant, little, girl, she’ll, think, me, for, asking!, no,, it’ll, never, do]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
to ask: perhaps I shall see it written up somewhere.”,"[to, ask:, perhaps, i, shall, see, it, written, up, somewhere.”]","[53.0,10.0]","[0.3524089238765515,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Down, down, down. There was nothing else to do, so Alice soon began","[down,, down,, down., there, was, nothing, else, to, do,, so, alice, soon, began]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"talking again. “Dinah’ll miss me very much to-night, I should think!”","[talking, again., “dinah’ll, miss, me, very, much, to-night,, i, should, think!”]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
(Dinah was the cat.) “I hope they’ll remember her saucer of milk at,"[(dinah, was, the, cat.), “i, hope, they’ll, remember, her, saucer, of, milk, at]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
tea-time. Dinah my dear! I wish you were down here with me! There are,"[tea-time., dinah, my, dear!, i, wish, you, were, down, here, with, me!, there, are]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"no mice in the air, I’m afraid, but you might catch a bat, and that’s","[no, mice, in, the, air,, i’m, afraid,, but, you, might, catch, a, bat,, and, that’s]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"very like a mouse, you know. But do cats eat bats, I wonder?” And here","[very, like, a, mouse,, you, know., but, do, cats, eat, bats,, i, wonder?”, and, here]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
"Alice began to get rather sleepy, and went on saying to herself, in a","[alice, began, to, get, rather, sleepy,, and, went, on, saying, to, herself,, in, a]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"dreamy sort of way, “Do cats eat bats? Do cats eat bats?” and","[dreamy, sort, of, way,, “do, cats, eat, bats?, do, cats, eat, bats?”, and]","[61.0,13.0]","[0.6239536816515383,0.8564860118892829]"
"sometimes, “Do bats eat cats?” for, you see, as she couldn’t answer","[sometimes,, “do, bats, eat, cats?”, for,, you, see,, as, she, couldn’t, answer]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"either question, it didn’t much matter which way she put it. She felt","[either, question,, it, didn’t, much, matter, which, way, she, put, it., she, felt]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"that she was dozing off, and had just begun to dream that she was","[that, she, was, dozing, off,, and, had, just, begun, to, dream, that, she, was]","[65.0,14.0]","[0.7597260605390318,1.0384566305038794]"
"walking hand in hand with Dinah, and saying to her very earnestly,","[walking, hand, in, hand, with, dinah,, and, saying, to, her, very, earnestly,]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
"“Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly,","[“now,, dinah,, tell, me, the, truth:, did, you, ever, eat, a, bat?”, when, suddenly,]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"thump! thump! down she came upon a heap of sticks and dry leaves, and","[thump!, thump!, down, she, came, upon, a, heap, of, sticks, and, dry, leaves,, and]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
the fall was over.,"[the, fall, was, over.]","[18.0,4.0]","[-0.8355993913890161,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Alice was not a bit hurt, and she jumped up on to her feet in a moment:","[alice, was, not, a, bit, hurt,, and, she, jumped, up, on, to, her, feet, in, a, moment:]","[71.0,17.0]","[0.963384628870272,1.5843684863476686]"
"she looked up, but it was all dark overhead; before her was another","[she, looked, up,, but, it, was, all, dark, overhead;, before, her, was, another]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"long passage, and the White Rabbit was still in sight, hurrying down","[long, passage,, and, the, white, rabbit, was, still, in, sight,, hurrying, down]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"it. There was not a moment to be lost: away went Alice like the wind,","[it., there, was, not, a, moment, to, be, lost:, away, went, alice, like, the, wind,]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"and was just in time to hear it say, as it turned a corner, “Oh my ears","[and, was, just, in, time, to, hear, it, say,, as, it, turned, a, corner,, “oh, my, ears]","[71.0,17.0]","[0.963384628870272,1.5843684863476686]"
"and whiskers, how late it’s getting!” She was close behind it when she","[and, whiskers,, how, late, it’s, getting!”, she, was, close, behind, it, when, she]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"turned the corner, but the Rabbit was no longer to be seen: she found","[turned, the, corner,, but, the, rabbit, was, no, longer, to, be, seen:, she, found]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"herself in a long, low hall, which was lit up by a row of lamps hanging","[herself, in, a, long,, low, hall,, which, was, lit, up, by, a, row, of, lamps, hanging]","[71.0,16.0]","[0.963384628870272,1.4023978677330722]"
from the roof.,"[from, the, roof.]","[14.0,3.0]","[-0.9713717702765096,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"There were doors all round the hall, but they were all locked; and when","[there, were, doors, all, round, the, hall,, but, they, were, all, locked;, and, when]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"Alice had been all the way down one side and up the other, trying every","[alice, had, been, all, the, way, down, one, side, and, up, the, other,, trying, every]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"door, she walked sadly down the middle, wondering how she was ever to","[door,, she, walked, sadly, down, the, middle,, wondering, how, she, was, ever, to]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
get out again.,"[get, out, again.]","[14.0,3.0]","[-0.9713717702765096,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Suddenly she came upon a little three-legged table, all made of solid","[suddenly, she, came, upon, a, little, three-legged, table,, all, made, of, solid]","[69.0,12.0]","[0.8954984394265252,0.6745153932746865]"
"glass; there was nothing on it except a tiny golden key, and Alice’s","[glass;, there, was, nothing, on, it, except, a, tiny, golden, key,, and, alice’s]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
first thought was that it might belong to one of the doors of the hall;,"[first, thought, was, that, it, might, belong, to, one, of, the, doors, of, the, hall;]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"but, alas! either the locks were too large, or the key was too small,","[but,, alas!, either, the, locks, were, too, large,, or, the, key, was, too, small,]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"but at any rate it would not open any of them. However, on the second","[but, at, any, rate, it, would, not, open, any, of, them., however,, on, the, second]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"time round, she came upon a low curtain she had not noticed before, and","[time, round,, she, came, upon, a, low, curtain, she, had, not, noticed, before,, and]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
behind it was a little door about fifteen inches high: she tried the,"[behind, it, was, a, little, door, about, fifteen, inches, high:, she, tried, the]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"little golden key in the lock, and to her great delight it fitted!","[little, golden, key, in, the, lock,, and, to, her, great, delight, it, fitted!]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"Alice opened the door and found that it led into a small passage, not","[alice, opened, the, door, and, found, that, it, led, into, a, small, passage,, not]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
much larger than a rat-hole: she knelt down and looked along the,"[much, larger, than, a, rat-hole:, she, knelt, down, and, looked, along, the]","[64.0,12.0]","[0.7257829658171584,0.6745153932746865]"
passage into the loveliest garden you ever saw. How she longed to get,"[passage, into, the, loveliest, garden, you, ever, saw., how, she, longed, to, get]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"out of that dark hall, and wander about among those beds of bright","[out, of, that, dark, hall,, and, wander, about, among, those, beds, of, bright]","[66.0,13.0]","[0.7936691552609052,0.8564860118892829]"
"flowers and those cool fountains, but she could not even get her head","[flowers, and, those, cool, fountains,, but, she, could, not, even, get, her, head]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"through the doorway; “and even if my head would go through,” thought","[through, the, doorway;, “and, even, if, my, head, would, go, through,”, thought]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"poor Alice, “it would be of very little use without my shoulders. Oh,","[poor, alice,, “it, would, be, of, very, little, use, without, my, shoulders., oh,]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"how I wish I could shut up like a telescope! I think I could, if I only","[how, i, wish, i, could, shut, up, like, a, telescope!, i, think, i, could,, if, i, only]","[71.0,17.0]","[0.963384628870272,1.5843684863476686]"
"knew how to begin.” For, you see, so many out-of-the-way things had","[knew, how, to, begin.”, for,, you, see,, so, many, out-of-the-way, things, had]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"happened lately, that Alice had begun to think that very few things","[happened, lately,, that, alice, had, begun, to, think, that, very, few, things]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
indeed were really impossible.,"[indeed, were, really, impossible.]","[30.0,4.0]","[-0.4282822547265358,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
